asset,file,pc1_evr_bar_norm,snapshots,bars
SOL,sol_2026-05-11.npz,0.9451611636316597,86310,1440
SOL,sol_2026-05-12.npz,0.9539356786350184,86176,1440
SOL,sol_2026-05-13.npz,0.943406293627042,86260,1440
SOL,sol_2026-05-14.npz,0.9443059458281695,86202,1440
SOL,sol_2026-05-15.npz,0.9317654641170413,86157,1440
SOL,sol_2026-05-16.npz,0.9222016950463817,85742,1440
SOL,sol_2026-05-17.npz,0.944180646164631,85630,1440
SOL,sol_2026-05-18.npz,0.9409863136774509,86213,1440
SOL,sol_2026-05-19.npz,0.9456214133186448,86163,1440
SOL,sol_2026-05-20.npz,0.946548671113542,85994,1440
SOL,sol_2026-05-21.npz,0.9344977143078357,86148,1440
SOL,sol_2026-05-22.npz,0.9412158817786237,86221,1440
SOL,sol_2026-05-23.npz,0.9254749828549386,86174,1440
SOL,sol_2026-05-24.npz,0.9303501516627161,86158,1440
SOL,sol_2026-05-25.npz,0.934466762281691,86143,1440
SOL,sol_2026-05-26.npz,0.9362669630770767,86167,1440
SOL,sol_2026-05-27.npz,0.9386046497723167,86076,1440
SOL,sol_2026-05-28.npz,0.9269109272423226,86096,1440
SOL,sol_2026-05-29.npz,0.941223051913421,86116,1440
SOL,sol_2026-05-30.npz,0.9269369503530678,85622,1440
SOL,sol_2026-05-31.npz,0.9311151693740626,85536,1440
SOL,sol_2026-06-01.npz,0.9285638802573674,86228,1440
SOL,sol_2026-06-02.npz,0.9415448904018436,86296,1440
SOL,sol_2026-06-03.npz,0.937760668824218,86315,1440
SOL,sol_2026-06-04.npz,0.9376986835571709,86365,1440
SOL,sol_2026-06-05.npz,0.9210795803812134,86387,1440
SOL,sol_2026-06-06.npz,0.9248176668529074,86224,1440
SOL,sol_2026-06-07.npz,0.9463353829953391,86227,1440
SOL,sol_2026-06-08.npz,0.9509389319384605,86303,1440
SOL,sol_2026-06-09.npz,0.9390013142851924,86289,1440
SOL,sol_2026-06-10.npz,0.946555137496503,86367,1440
SOL,sol_2026-06-11.npz,0.947802080205261,86213,1440
