asset,horizon,horizon_seconds,train,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,n,levels
XRP,10,3000,6000,-0.005816384739162794,-0.009451495929915454,-0.003950179202362847,0.0018662055367999475,0.005501316727552608,0.5013380909901873,0.511745465358311,0.5231440182376846,10089,10
BTC,20,6000,6000,-0.008084515514042545,-0.013693189557806296,-0.012413789314804413,-0.004329273800761868,0.0012794002430018825,0.5249528723087608,0.5342791943645203,0.532592519099117,10079,10
ETH,20,6000,6000,-0.0067642938495859894,-0.019436452894570966,-0.011894036310216682,-0.005129742460630693,0.007542416584354283,0.5304097628733009,0.5323940867149519,0.531699573370374,10079,10
SOL,20,6000,6000,-0.00973452367052885,-0.012073649197738012,-0.003552622286950635,0.006181901383578214,0.008521026910787377,0.5124516321063598,0.5123524159142772,0.5156265502530013,10079,10
XRP,20,6000,6000,-0.010031281325370678,-0.015539327414436865,-0.008649351856412135,0.0013819294689585426,0.00688997555802473,0.5190991169758905,0.5244567913483481,0.5377517610874095,10079,10
BTC,2,600,3000,-0.005502720790455884,-0.003857884987524818,-0.0027386940051019604,0.0027640267853539235,0.0011191909824228574,0.5061464457509354,0.5198136977933878,0.5124837749102849,13097,20
ETH,2,600,3000,-0.00565210321072529,-0.004794682706012798,-0.0022657179216485357,0.0033863852890767543,0.0025289647843642626,0.5039321982133314,0.5112621210964343,0.5140871955409636,13097,20
SOL,2,600,3000,-0.006523096929047512,-0.004211733341942692,-0.001954837362837525,0.004568259566209987,0.002256895979105167,0.5014888905856303,0.5050011453004505,0.5049247919370848,13097,20
XRP,2,600,3000,-0.0066102345929699435,-0.004136871114388763,-0.0016852104270066448,0.004925024165963299,0.002451660687382118,0.5023287775826525,0.5082079865618081,0.5095823471023898,13097,20
BTC,5,1500,3000,-0.009801360058717234,-0.008141900083744824,-0.005575692033973567,0.004225668024743667,0.002566208049771257,0.49221017259813654,0.5012219337100963,0.5143577210936306,13094,20
ETH,5,1500,3000,-0.010409304464811031,-0.01052814267385993,-0.005371175732628242,0.0050381287321827894,0.005156966941231689,0.5129830456697724,0.5063387811211242,0.5166488468000611,13094,20
SOL,5,1500,3000,-0.012428665830066965,-0.007468004835688102,-0.0047314234620934315,0.0076972423679735336,0.002736581373594671,0.5016801588513823,0.5021383839926684,0.5016037879945013,13094,20
XRP,5,1500,3000,-0.010197670477424259,-0.008031341382230162,-0.009300090525912186,0.000897579951512073,-0.0012687491436820242,0.5080953108293875,0.5067206354055293,0.515961509088132,13094,20
BTC,10,3000,3000,-0.013527732279386084,-0.014897798019204656,-0.008892677268492077,0.004635055010894007,0.006005120750712578,0.4893421957368783,0.5044694017877607,0.5163114065245626,13089,20
ETH,10,3000,3000,-0.016303826591453463,-0.014963331996208362,-0.010405084989172586,0.005898741602280877,0.004558247007035776,0.5119566047826419,0.5050042020016808,0.5173810069524027,13089,20
SOL,10,3000,3000,-0.018985993795620493,-0.01223569651371692,-0.009355312492232093,0.0096306813033884,0.0028803840214848275,0.505997402398961,0.5011842004736802,0.4988157995263198,13089,20
